FIPS,State,"County, State",2011 Food Insecurity Rate,Number of Food Insecure Persons in 2011,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ? Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2011 Child Food Insecurity Rate,Number of Food Insecure Children in 2011,% food insecure children in HH w/ HH incomes below 185 FPL,% of food insecure children in HH w/ HH incomes above 185 FPL,Cost Per Meal,Weighted Annual Food Budget Shortfall
28033,MS,"DeSoto County, Mississippi",13.50%,"21,350",130%,SNAP,185%,Other Nutrition Program,37.40%,17.60%,45.00%,20.80%,9330,64%,36%,$2.47 ,"$8,597,170.00 "
28035,MS,"Forrest County, Mississippi",22.70%,"16,970",130%,SNAP,185%,Other Nutrition Program,60.50%,13.20%,26.30%,27.90%,4940,70%,31%,$2.66 ,"$7,359,090.00 "
28037,MS,"Franklin County, Mississippi",20.70%,"1,680",130%,SNAP,185%,Other Nutrition Program,63.80%,20.40%,15.80%,30.50%,630,83%,17%,$2.56 ,"$701,150.00 "
28039,MS,"George County, Mississippi",16.00%,"3,590",130%,SNAP,185%,Other Nutrition Program,51.60%,11.40%,37.00%,28.30%,1710,70%,31%,$2.51 ,"$1,469,020.00 "
28041,MS,"Greene County, Mississippi",18.50%,"2,640",130%,SNAP,185%,Other Nutrition Program,46.00%,16.70%,37.20%,29.90%,900,85%,15%,$2.69 ,"$1,157,760.00 "
28043,MS,"Grenada County, Mississippi",21.80%,"4,810",130%,SNAP,185%,Other Nutrition Program,54.40%,20.30%,25.20%,26.20%,1440,68%,32%,$2.61 ,"$2,046,660.00 "
28045,MS,"Hancock County, Mississippi",15.40%,"6,690",130%,SNAP,185%,Other Nutrition Program,58.50%,10.10%,31.40%,29.30%,3020,78%,22%,$2.60 ,"$2,835,700.00 "
28047,MS,"Harrison County, Mississippi",17.80%,"32,900",130%,SNAP,185%,Other Nutrition Program,49.60%,17.20%,33.20%,26.10%,11870,74%,26%,$2.64 ,"$14,159,910.00 "
28049,MS,"Hinds County, Mississippi",24.90%,"61,110",130%,SNAP,185%,Other Nutrition Program,54.80%,19.90%,25.20%,21.80%,14350,63%,37%,$2.58 ,"$25,703,530.00 "
28051,MS,"Holmes County, Mississippi",35.20%,"6,810",130%,SNAP,185%,Other Nutrition Program,72.60%,22.20%,5.20%,33.10%,1880,73%,27%,$2.84 ,"$3,153,020.00 "
28053,MS,"Humphreys County, Mississippi",34.00%,"3,230",130%,SNAP,185%,Other Nutrition Program,77.00%,17.70%,5.30%,32.50%,890,65%,35%,$2.60 ,"$1,369,100.00 "
28055,MS,"Issaquena County, Mississippi",32.70%,600,130%,SNAP,185%,Other Nutrition Program,58.00%,17.80%,24.20%,37.30%,150,62%,38%,$2.58 ,"$252,370.00 "
28057,MS,"Itawamba County, Mississippi",14.60%,"3,410",130%,SNAP,185%,Other Nutrition Program,57.80%,24.30%,17.90%,26.90%,1460,91%,9%,$2.48 ,"$1,378,690.00 "
28059,MS,"Jackson County, Mississippi",17.50%,"24,170",130%,SNAP,185%,Other Nutrition Program,44.20%,18.80%,37.00%,25.50%,9030,73%,28%,$2.71 ,"$10,678,410.00 "
28061,MS,"Jasper County, Mississippi",21.80%,"3,760",130%,SNAP,185%,Other Nutrition Program,54.90%,28.00%,17.10%,22.30%,950,78%,22%,$2.55 ,"$1,563,110.00 "
28063,MS,"Jefferson County, Mississippi",34.40%,"2,700",130%,SNAP,185%,Other Nutrition Program,66.10%,17.00%,16.90%,30.60%,560,61%,39%,$2.58 ,"$1,135,650.00 "
28065,MS,"Jefferson Davis County, Mississippi",25.20%,"3,150",130%,SNAP,185%,Other Nutrition Program,66.30%,23.40%,10.20%,28.50%,840,80%,20%,$2.53 ,"$1,299,250.00 "
28067,MS,"Jones County, Mississippi",18.10%,"12,210",130%,SNAP,185%,Other Nutrition Program,63.10%,18.40%,18.40%,27.50%,4740,79%,21%,$2.51 ,"$4,996,320.00 "
28069,MS,"Kemper County, Mississippi",26.20%,"2,720",130%,SNAP,185%,Other Nutrition Program,63.30%,23.40%,13.30%,27.90%,690,85%,15%,$2.61 ,"$1,157,360.00 "
28071,MS,"Lafayette County, Mississippi",19.40%,"9,050",130%,SNAP,185%,Other Nutrition Program,54.30%,10.10%,35.60%,22.30%,1960,62%,38%,$2.96 ,"$4,367,180.00 "
28073,MS,"Lamar County, Mississippi",15.90%,"8,640",130%,SNAP,185%,Other Nutrition Program,50.50%,12.00%,37.40%,22.40%,3200,64%,36%,$2.51 ,"$3,535,480.00 "
28075,MS,"Lauderdale County, Mississippi",22.20%,"17,750",130%,SNAP,185%,Other Nutrition Program,53.90%,19.20%,26.90%,27.30%,5470,71%,29%,$2.59 ,"$7,494,780.00 "
28077,MS,"Lawrence County, Mississippi",19.50%,"2,520",130%,SNAP,185%,Other Nutrition Program,51.30%,19.40%,29.30%,26.00%,860,69%,32%,$2.57 ,"$1,055,830.00 "
28079,MS,"Leake County, Mississippi",21.50%,"5,080",130%,SNAP,185%,Other Nutrition Program,62.00%,19.80%,18.20%,26.90%,1950,82%,18%,$2.40 ,"$1,987,630.00 "
28081,MS,"Lee County, Mississippi",18.80%,"15,490",130%,SNAP,185%,Other Nutrition Program,53.50%,17.90%,28.60%,26.00%,5740,74%,26%,$2.50 ,"$6,313,240.00 "
28083,MS,"Leflore County, Mississippi",32.90%,"10,760",130%,SNAP,185%,Other Nutrition Program,74.00%,22.60%,3.40%,33.40%,3010,71%,29%,$2.69 ,"$4,718,730.00 "
28085,MS,"Lincoln County, Mississippi",18.70%,"6,490",130%,SNAP,185%,Other Nutrition Program,55.90%,21.80%,22.40%,25.40%,2300,81%,20%,$2.61 ,"$2,761,510.00 "
28087,MS,"Lowndes County, Mississippi",23.10%,"13,740",130%,SNAP,185%,Other Nutrition Program,57.40%,16.80%,25.80%,27.40%,4160,71%,29%,$2.66 ,"$5,958,390.00 "
28089,MS,"Madison County, Mississippi",16.70%,"15,660",130%,SNAP,185%,Other Nutrition Program,39.50%,16.70%,43.80%,17.60%,4480,60%,40%,$2.97 ,"$7,582,440.00 "
28091,MS,"Marion County, Mississippi",20.20%,"5,420",130%,SNAP,185%,Other Nutrition Program,64.00%,15.20%,20.80%,28.60%,1990,73%,27%,$2.64 ,"$2,332,730.00 "
28093,MS,"Marshall County, Mississippi",22.90%,"8,500",130%,SNAP,185%,Other Nutrition Program,55.30%,17.20%,27.50%,29.00%,2560,72%,28%,$2.58 ,"$3,575,190.00 "
28095,MS,"Monroe County, Mississippi",20.10%,"7,470",130%,SNAP,185%,Other Nutrition Program,57.70%,21.50%,20.80%,27.80%,2540,87%,13%,$2.51 ,"$3,056,720.00 "
28097,MS,"Montgomery County, Mississippi",23.80%,"2,620",130%,SNAP,185%,Other Nutrition Program,58.60%,22.70%,18.70%,28.70%,780,79%,21%,$2.61 ,"$1,114,810.00 "
28099,MS,"Neshoba County, Mississippi",16.80%,"4,970",130%,SNAP,185%,Other Nutrition Program,64.50%,23.30%,12.20%,26.50%,2240,89%,11%,$2.52 ,"$2,041,820.00 "
28101,MS,"Newton County, Mississippi",17.40%,"3,790",130%,SNAP,185%,Other Nutrition Program,53.70%,27.70%,18.70%,25.80%,1450,83%,18%,$2.53 ,"$1,563,220.00 "
28103,MS,"Noxubee County, Mississippi",31.70%,"3,690",130%,SNAP,185%,Other Nutrition Program,70.10%,29.90%,0.00%,31.80%,1010,89%,11%,$2.65 ,"$1,594,160.00 "
28105,MS,"Oktibbeha County, Mississippi",25.60%,"12,060",130%,SNAP,185%,Other Nutrition Program,66.80%,10.40%,22.80%,26.20%,2260,66%,34%,$2.73 ,"$5,367,480.00 "
28107,MS,"Panola County, Mississippi",24.20%,"8,400",130%,SNAP,185%,Other Nutrition Program,61.10%,19.60%,19.30%,27.50%,2610,74%,27%,$2.59 ,"$3,546,830.00 "
28109,MS,"Pearl River County, Mississippi",16.90%,"9,480",130%,SNAP,185%,Other Nutrition Program,59.20%,11.50%,29.40%,30.30%,4220,76%,24%,$2.72 ,"$4,203,760.00 "
28111,MS,"Perry County, Mississippi",17.40%,"2,130",130%,SNAP,185%,Other Nutrition Program,57.70%,16.60%,25.70%,23.80%,750,83%,18%,$2.54 ,"$882,010.00 "
28113,MS,"Pike County, Mississippi",24.20%,"9,750",130%,SNAP,185%,Other Nutrition Program,59.50%,19.50%,21.00%,27.80%,3060,73%,27%,$2.52 ,"$4,005,580.00 "
28115,MS,"Pontotoc County, Mississippi",15.40%,"4,590",130%,SNAP,185%,Other Nutrition Program,53.20%,26.10%,20.70%,26.50%,2120,81%,19%,$2.57 ,"$1,923,120.00 "
28117,MS,"Prentiss County, Mississippi",17.90%,"4,540",130%,SNAP,185%,Other Nutrition Program,61.70%,17.90%,20.40%,29.30%,1730,96%,4%,$2.49 ,"$1,842,960.00 "
28119,MS,"Quitman County, Mississippi",30.10%,"2,520",130%,SNAP,185%,Other Nutrition Program,76.40%,21.20%,2.40%,28.10%,630,77%,23%,$2.53 ,"$1,039,400.00 "
28121,MS,"Rankin County, Mississippi",12.90%,"18,050",130%,SNAP,185%,Other Nutrition Program,38.70%,16.40%,44.90%,20.30%,7160,61%,39%,$2.62 ,"$7,709,730.00 "
28123,MS,"Scott County, Mississippi",18.00%,"5,090",130%,SNAP,185%,Other Nutrition Program,66.10%,21.90%,12.00%,23.30%,1800,80%,20%,$2.49 ,"$2,066,230.00 "
28125,MS,"Sharkey County, Mississippi",29.60%,"1,390",130%,SNAP,185%,Other Nutrition Program,67.30%,23.00%,9.80%,29.70%,360,71%,29%,$2.58 ,"$584,650.00 "
28127,MS,"Simpson County, Mississippi",19.00%,"5,230",130%,SNAP,185%,Other Nutrition Program,62.20%,17.10%,20.80%,25.10%,1820,78%,22%,$2.50 ,"$2,131,580.00 "
28129,MS,"Smith County, Mississippi",15.80%,"2,600",130%,SNAP,185%,Other Nutrition Program,53.60%,20.10%,26.30%,23.40%,1010,75%,25%,$2.58 ,"$1,093,590.00 "
28131,MS,"Stone County, Mississippi",16.00%,"2,760",130%,SNAP,185%,Other Nutrition Program,49.30%,8.00%,42.60%,27.80%,1170,64%,36%,$2.72 ,"$1,223,880.00 "
28133,MS,"Sunflower County, Mississippi",31.70%,"9,520",130%,SNAP,185%,Other Nutrition Program,61.90%,19.10%,19.00%,29.30%,2150,77%,23%,$2.67 ,"$4,143,900.00 "
28135,MS,"Tallahatchie County, Mississippi",25.70%,"3,920",130%,SNAP,185%,Other Nutrition Program,63.80%,14.60%,21.60%,31.00%,1100,71%,29%,$2.62 ,"$1,674,360.00 "
28137,MS,"Tate County, Mississippi",18.90%,"5,380",130%,SNAP,185%,Other Nutrition Program,52.20%,25.90%,21.90%,27.30%,2000,86%,14%,$2.47 ,"$2,166,410.00 "
28139,MS,"Tippah County, Mississippi",19.40%,"4,280",130%,SNAP,185%,Other Nutrition Program,63.50%,20.00%,16.50%,33.00%,1860,91%,9%,$2.71 ,"$1,890,920.00 "
28141,MS,"Tishomingo County, Mississippi",16.90%,"3,310",130%,SNAP,185%,Other Nutrition Program,66.80%,15.90%,17.30%,31.90%,1450,94%,6%,$2.48 ,"$1,338,260.00 "
28143,MS,"Tunica County, Mississippi",33.20%,"3,590",130%,SNAP,185%,Other Nutrition Program,56.70%,38.00%,5.30%,29.60%,960,79%,21%,$2.49 ,"$1,457,320.00 "
28145,MS,"Union County, Mississippi",17.80%,"4,820",130%,SNAP,185%,Other Nutrition Program,62.30%,15.70%,22.00%,31.30%,2200,85%,15%,$2.42 ,"$1,901,620.00 "
28147,MS,"Walthall County, Mississippi",21.90%,"3,400",130%,SNAP,185%,Other Nutrition Program,60.20%,22.90%,17.00%,25.10%,1030,79%,21%,$2.66 ,"$1,474,420.00 "
28149,MS,"Warren County, Mississippi",22.80%,"11,100",130%,SNAP,185%,Other Nutrition Program,57.50%,17.10%,25.40%,25.40%,3230,75%,25%,$2.60 ,"$4,704,970.00 "
28151,MS,"Washington County, Mississippi",32.30%,"16,670",130%,SNAP,185%,Other Nutrition Program,70.20%,19.60%,10.10%,32.60%,4780,70%,30%,$2.54 ,"$6,902,880.00 "
28153,MS,"Wayne County, Mississippi",21.60%,"4,520",130%,SNAP,185%,Other Nutrition Program,63.20%,16.80%,20.00%,29.50%,1620,74%,26%,$2.60 ,"$1,915,900.00 "
28155,MS,"Webster County, Mississippi",20.90%,"2,130",130%,SNAP,185%,Other Nutrition Program,59.10%,14.20%,26.70%,32.10%,820,76%,24%,$2.66 ,"$923,680.00 "
28157,MS,"Wilkinson County, Mississippi",26.00%,"2,590",130%,SNAP,185%,Other Nutrition Program,52.40%,23.30%,24.30%,26.20%,600,70%,30%,$2.73 ,"$1,152,720.00 "
28159,MS,"Winston County, Mississippi",23.90%,"4,600",130%,SNAP,185%,Other Nutrition Program,54.40%,25.00%,20.60%,28.40%,1350,78%,22%,$2.62 ,"$1,964,810.00 "
28161,MS,"Yalobusha County, Mississippi",21.60%,"2,760",130%,SNAP,185%,Other Nutrition Program,58.50%,22.70%,18.80%,28.30%,870,77%,23%,$2.71 ,"$1,219,380.00 "
28163,MS,"Yazoo County, Mississippi",27.20%,"7,670",130%,SNAP,185%,Other Nutrition Program,62.00%,15.40%,22.60%,30.20%,2180,73%,27%,$3.01 ,"$3,763,770.00 "
29001,MO,"Adair County, Missouri",17.70%,"4,510",130%,SNAP,185%,Other Nutrition Program,62.80%,13.10%,24.00%,22.00%,1070,78%,22%,$2.26 ,"$1,661,670.00 "
29003,MO,"Andrew County, Missouri",11.00%,"1,880",130%,SNAP,185%,Other Nutrition Program,35.20%,20.50%,44.30%,15.90%,650,53%,47%,$2.46 ,"$753,970.00 "
29005,MO,"Atchison County, Missouri",13.20%,760,130%,SNAP,185%,Other Nutrition Program,42.70%,32.30%,25.00%,19.00%,230,68%,32%,$2.60 ,"$322,140.00 "
29007,MO,"Audrain County, Missouri",15.10%,"3,880",130%,SNAP,185%,Other Nutrition Program,52.20%,17.30%,30.60%,22.70%,1450,77%,23%,$2.06 ,"$1,303,050.00 "
29009,MO,"Barry County, Missouri",14.10%,"5,030",130%,SNAP,185%,Other Nutrition Program,56.60%,26.70%,16.70%,24.50%,2190,79%,21%,$2.55 ,"$2,091,070.00 "
29011,MO,"Barton County, Missouri",15.90%,"1,980",130%,SNAP,185%,Other Nutrition Program,59.90%,27.00%,13.10%,25.90%,850,87%,13%,$2.33 ,"$752,110.00 "
29013,MO,"Bates County, Missouri",15.80%,"2,700",130%,SNAP,185%,Other Nutrition Program,57.00%,21.50%,21.40%,23.20%,990,85%,15%,$2.36 ,"$1,038,810.00 "
29015,MO,"Benton County, Missouri",15.00%,"2,850",130%,SNAP,185%,Other Nutrition Program,59.40%,20.30%,20.20%,24.70%,840,78%,22%,$2.40 ,"$1,115,110.00 "
29017,MO,"Bollinger County, Missouri",14.40%,"1,790",130%,SNAP,185%,Other Nutrition Program,59.20%,22.70%,18.10%,23.60%,710,80%,21%,$2.52 ,"$735,380.00 "
29019,MO,"Boone County, Missouri",16.40%,"26,260",130%,SNAP,185%,Other Nutrition Program,52.90%,15.20%,31.90%,18.00%,6060,61%,39%,$2.72 ,"$11,644,600.00 "
29021,MO,"Buchanan County, Missouri",15.00%,"13,350",130%,SNAP,185%,Other Nutrition Program,49.90%,23.60%,26.50%,22.30%,4660,73%,27%,$2.41 ,"$5,245,160.00 "
29023,MO,"Butler County, Missouri",16.60%,"7,090",130%,SNAP,185%,Other Nutrition Program,61.90%,23.40%,14.80%,25.00%,2490,75%,25%,$2.26 ,"$2,612,250.00 "
29025,MO,"Caldwell County, Missouri",15.00%,"1,410",130%,SNAP,185%,Other Nutrition Program,50.30%,27.60%,22.10%,23.70%,560,79%,21%,$2.50 ,"$574,670.00 "
29027,MO,"Callaway County, Missouri",13.10%,"5,750",130%,SNAP,185%,Other Nutrition Program,38.40%,21.50%,40.10%,18.70%,1880,70%,30%,$2.61 ,"$2,446,630.00 "
29029,MO,"Camden County, Missouri",14.60%,"6,380",130%,SNAP,185%,Other Nutrition Program,49.70%,22.70%,27.70%,27.20%,2270,82%,18%,$2.71 ,"$2,818,710.00 "
29031,MO,"Cape Girardeau County, Missouri",15.00%,"11,230",130%,SNAP,185%,Other Nutrition Program,45.30%,20.70%,34.00%,20.30%,3340,66%,34%,$2.47 ,"$4,522,070.00 "
29033,MO,"Carroll County, Missouri",14.40%,"1,350",130%,SNAP,185%,Other Nutrition Program,43.70%,26.00%,30.30%,20.60%,450,65%,35%,$2.32 ,"$510,600.00 "
29035,MO,"Carter County, Missouri",16.50%,"1,020",130%,SNAP,185%,Other Nutrition Program,70.70%,29.30%,0.00%,26.60%,400,100%,0%,$2.28 ,"$379,140.00 "
29037,MO,"Cass County, Missouri",12.60%,"12,460",130%,SNAP,185%,Other Nutrition Program,30.80%,18.40%,50.80%,18.80%,4940,53%,47%,$2.38 ,"$4,834,550.00 "
29039,MO,"Cedar County, Missouri",15.10%,"2,120",130%,SNAP,185%,Other Nutrition Program,69.70%,28.50%,1.70%,25.20%,810,92%,8%,$2.22 ,"$767,270.00 "
29041,MO,"Chariton County, Missouri",14.10%,"1,100",130%,SNAP,185%,Other Nutrition Program,47.90%,18.20%,33.90%,20.60%,360,62%,39%,$2.27 ,"$407,080.00 "
29043,MO,"Christian County, Missouri",12.70%,"9,630",130%,SNAP,185%,Other Nutrition Program,40.80%,28.40%,30.80%,19.20%,3990,71%,30%,$2.67 ,"$4,191,780.00 "
29045,MO,"Clark County, Missouri",14.20%,"1,010",130%,SNAP,185%,Other Nutrition Program,48.10%,20.70%,31.10%,23.40%,400,66%,34%,$2.19 ,"$360,600.00 "
29047,MO,"Clay County, Missouri",13.00%,"28,340",130%,SNAP,185%,Other Nutrition Program,32.60%,17.80%,49.60%,17.40%,9790,54%,46%,$2.37 ,"$10,949,870.00 "
29049,MO,"Clinton County, Missouri",14.20%,"2,950",130%,SNAP,185%,Other Nutrition Program,33.90%,23.40%,42.70%,20.30%,1050,69%,31%,$2.82 ,"$1,356,230.00 "
29051,MO,"Cole County, Missouri",14.20%,"10,680",130%,SNAP,185%,Other Nutrition Program,39.70%,19.00%,41.30%,17.50%,3120,66%,34%,$2.52 ,"$4,387,660.00 "
29053,MO,"Cooper County, Missouri",15.20%,"2,670",130%,SNAP,185%,Other Nutrition Program,44.80%,16.80%,38.30%,22.00%,870,69%,31%,$2.54 ,"$1,105,620.00 "
29055,MO,"Crawford County, Missouri",15.60%,"3,860",130%,SNAP,185%,Other Nutrition Program,57.40%,29.50%,13.10%,24.10%,1470,87%,14%,$2.83 ,"$1,780,880.00 "
29057,MO,"Dade County, Missouri",15.80%,"1,250",130%,SNAP,185%,Other Nutrition Program,61.40%,27.50%,11.10%,26.80%,480,84%,16%,$2.44 ,"$497,230.00 "
29059,MO,"Dallas County, Missouri",16.00%,"2,700",130%,SNAP,185%,Other Nutrition Program,55.70%,22.30%,22.00%,27.20%,1130,78%,22%,$2.47 ,"$1,087,230.00 "
29061,MO,"Daviess County, Missouri",14.30%,"1,190",130%,SNAP,185%,Other Nutrition Program,56.00%,24.60%,19.40%,22.00%,490,84%,16%,$2.44 ,"$473,370.00 "
29063,MO,"DeKalb County, Missouri",14.60%,"1,870",130%,SNAP,185%,Other Nutrition Program,28.50%,24.30%,47.20%,17.90%,410,68%,33%,$2.43 ,"$740,810.00 "
29065,MO,"Dent County, Missouri",15.70%,"2,440",130%,SNAP,185%,Other Nutrition Program,62.80%,21.90%,15.30%,25.70%,910,86%,15%,$2.41 ,"$958,670.00 "
29067,MO,"Douglas County, Missouri",15.40%,"2,110",130%,SNAP,185%,Other Nutrition Program,76.20%,23.80%,0.00%,27.60%,860,97%,3%,$2.51 ,"$863,410.00 "
29069,MO,"Dunklin County, Missouri",20.00%,"6,400",130%,SNAP,185%,Other Nutrition Program,64.60%,28.60%,6.80%,28.60%,2330,84%,16%,$2.15 ,"$2,243,260.00 "
29071,MO,"Franklin County, Missouri",13.80%,"14,020",130%,SNAP,185%,Other Nutrition Program,41.00%,23.20%,35.80%,20.70%,5250,73%,27%,$2.42 ,"$5,531,260.00 "
29073,MO,"Gasconade County, Missouri",13.70%,"2,090",130%,SNAP,185%,Other Nutrition Program,49.00%,23.60%,27.40%,21.50%,720,72%,28%,$2.44 ,"$831,370.00 "
29075,MO,"Gentry County, Missouri",13.80%,940,130%,SNAP,185%,Other Nutrition Program,59.90%,27.80%,12.30%,23.00%,380,87%,13%,$2.44 ,"$373,920.00 "
29077,MO,"Greene County, Missouri",15.80%,"43,220",130%,SNAP,185%,Other Nutrition Program,54.20%,20.10%,25.70%,22.50%,13010,73%,27%,$2.53 ,"$17,826,500.00 "
29079,MO,"Grundy County, Missouri",13.80%,"1,410",130%,SNAP,185%,Other Nutrition Program,60.30%,30.10%,9.70%,19.90%,480,100%,0%,$2.41 ,"$553,980.00 "
29081,MO,"Harrison County, Missouri",14.10%,"1,260",130%,SNAP,185%,Other Nutrition Program,57.50%,31.50%,11.00%,21.20%,460,97%,3%,$2.47 ,"$507,370.00 "
29083,MO,"Henry County, Missouri",15.80%,"3,520",130%,SNAP,185%,Other Nutrition Program,54.90%,24.90%,20.20%,24.20%,1180,79%,21%,$2.15 ,"$1,233,790.00 "
29085,MO,"Hickory County, Missouri",16.50%,"1,580",130%,SNAP,185%,Other Nutrition Program,63.20%,30.20%,6.60%,25.90%,440,96%,4%,$2.29 ,"$589,870.00 "
29087,MO,"Holt County, Missouri",12.80%,630,130%,SNAP,185%,Other Nutrition Program,51.80%,27.60%,20.60%,21.50%,210,84%,16%,$2.50 ,"$256,770.00 "
29089,MO,"Howard County, Missouri",13.80%,"1,400",130%,SNAP,185%,Other Nutrition Program,46.40%,18.20%,35.30%,21.00%,470,74%,26%,$2.60 ,"$593,420.00 "
29091,MO,"Howell County, Missouri",15.80%,"6,340",130%,SNAP,185%,Other Nutrition Program,66.10%,24.20%,9.70%,25.80%,2570,84%,16%,$2.24 ,"$2,315,250.00 "
29093,MO,"Iron County, Missouri",17.20%,"1,840",130%,SNAP,185%,Other Nutrition Program,63.30%,23.20%,13.50%,26.30%,650,76%,24%,$2.44 ,"$731,930.00 "
29095,MO,"Jackson County, Missouri",19.10%,"128,180",130%,SNAP,185%,Other Nutrition Program,48.50%,19.00%,32.50%,21.20%,35050,65%,35%,$2.36 ,"$49,316,590.00 "
29097,MO,"Jasper County, Missouri",15.70%,"18,220",130%,SNAP,185%,Other Nutrition Program,60.60%,22.80%,16.70%,24.20%,7280,77%,23%,$2.24 ,"$6,653,610.00 "
29099,MO,"Jefferson County, Missouri",12.70%,"27,600",130%,SNAP,185%,Other Nutrition Program,38.00%,19.20%,42.90%,19.80%,10880,62%,38%,$2.75 ,"$12,373,780.00 "
29101,MO,"Johnson County, Missouri",16.10%,"8,450",130%,SNAP,185%,Other Nutrition Program,48.20%,18.00%,33.80%,22.00%,2630,69%,31%,$2.33 ,"$3,209,770.00 "
29103,MO,"Knox County, Missouri",14.80%,610,130%,SNAP,185%,Other Nutrition Program,78.70%,17.30%,4.10%,26.30%,270,95%,6%,$2.30 ,"$228,730.00 "
29105,MO,"Laclede County, Missouri",16.80%,"5,960",130%,SNAP,185%,Other Nutrition Program,55.20%,26.50%,18.30%,26.30%,2360,83%,17%,$2.21 ,"$2,147,330.00 "
29107,MO,"Lafayette County, Missouri",14.40%,"4,790",130%,SNAP,185%,Other Nutrition Program,39.30%,20.00%,40.70%,20.00%,1630,60%,40%,$3.03 ,"$2,366,130.00 "
29109,MO,"Lawrence County, Missouri",14.50%,"5,580",130%,SNAP,185%,Other Nutrition Program,61.90%,23.90%,14.20%,23.90%,2430,83%,17%,$2.56 ,"$2,328,810.00 "
29111,MO,"Lewis County, Missouri",13.90%,"1,420",130%,SNAP,185%,Other Nutrition Program,54.00%,21.60%,24.40%,22.90%,550,77%,23%,$2.31 ,"$534,760.00 "
29113,MO,"Lincoln County, Missouri",14.20%,"7,420",130%,SNAP,185%,Other Nutrition Program,40.60%,22.00%,37.40%,22.10%,3260,66%,34%,$2.33 ,"$2,818,520.00 "
29115,MO,"Linn County, Missouri",15.80%,"2,010",130%,SNAP,185%,Other Nutrition Program,53.50%,21.30%,25.20%,22.40%,700,68%,32%,$2.29 ,"$750,400.00 "
29117,MO,"Livingston County, Missouri",15.70%,"2,360",130%,SNAP,185%,Other Nutrition Program,53.10%,15.00%,32.00%,25.70%,860,69%,31%,$2.39 ,"$919,540.00 "
29119,MO,"McDonald County, Missouri",14.80%,"3,400",130%,SNAP,185%,Other Nutrition Program,64.40%,27.60%,8.00%,23.80%,1540,84%,16%,$2.71 ,"$1,502,140.00 "
29121,MO,"Macon County, Missouri",13.60%,"2,120",130%,SNAP,185%,Other Nutrition Program,57.00%,21.70%,21.30%,19.80%,750,83%,17%,$2.28 ,"$788,010.00 "
29123,MO,"Madison County, Missouri",15.90%,"1,950",130%,SNAP,185%,Other Nutrition Program,64.50%,26.50%,9.00%,26.80%,780,86%,14%,$2.47 ,"$785,220.00 "
29125,MO,"Maries County, Missouri",13.10%,"1,200",130%,SNAP,185%,Other Nutrition Program,53.40%,26.00%,20.50%,21.40%,470,79%,21%,$2.49 ,"$487,130.00 "
29127,MO,"Marion County, Missouri",14.90%,"4,250",130%,SNAP,185%,Other Nutrition Program,50.60%,28.60%,20.80%,20.70%,1410,82%,18%,$2.22 ,"$1,538,160.00 "
29129,MO,"Mercer County, Missouri",13.50%,510,130%,SNAP,185%,Other Nutrition Program,60.30%,28.50%,11.20%,23.50%,220,81%,19%,$2.32 ,"$192,890.00 "
29131,MO,"Miller County, Missouri",16.50%,"4,080",130%,SNAP,185%,Other Nutrition Program,57.80%,28.60%,13.50%,24.70%,1510,91%,9%,$2.96 ,"$1,968,850.00 "
29133,MO,"Mississippi County, Missouri",21.60%,"3,060",130%,SNAP,185%,Other Nutrition Program,72.80%,27.20%,0.00%,26.20%,830,96%,4%,$2.65 ,"$1,321,990.00 "
29135,MO,"Moniteau County, Missouri",13.50%,"2,100",130%,SNAP,185%,Other Nutrition Program,40.00%,27.70%,32.30%,20.10%,790,74%,26%,$2.64 ,"$903,820.00 "
29137,MO,"Monroe County, Missouri",15.30%,"1,380",130%,SNAP,185%,Other Nutrition Program,49.10%,17.50%,33.40%,23.10%,500,64%,36%,$2.15 ,"$483,700.00 "
29139,MO,"Montgomery County, Missouri",15.50%,"1,900",130%,SNAP,185%,Other Nutrition Program,54.30%,25.50%,20.20%,25.40%,740,85%,16%,$2.32 ,"$718,630.00 "
29141,MO,"Morgan County, Missouri",16.10%,"3,310",130%,SNAP,185%,Other Nutrition Program,55.80%,26.90%,17.20%,25.80%,1150,86%,14%,$2.57 ,"$1,386,830.00 "
29143,MO,"New Madrid County, Missouri",19.50%,"3,670",130%,SNAP,185%,Other Nutrition Program,59.30%,23.60%,17.10%,24.80%,1120,74%,26%,$2.46 ,"$1,471,840.00 "
29145,MO,"Newton County, Missouri",14.20%,"8,200",130%,SNAP,185%,Other Nutrition Program,59.80%,25.30%,15.00%,23.90%,3530,83%,17%,$2.42 ,"$3,235,120.00 "
29147,MO,"Nodaway County, Missouri",17.50%,"4,060",130%,SNAP,185%,Other Nutrition Program,57.90%,8.80%,33.20%,20.30%,880,54%,46%,$2.61 ,"$1,727,540.00 "
29149,MO,"Oregon County, Missouri",16.60%,"1,790",130%,SNAP,185%,Other Nutrition Program,79.30%,17.80%,2.80%,26.40%,640,85%,15%,$2.35 ,"$685,780.00 "
29151,MO,"Osage County, Missouri",11.10%,"1,530",130%,SNAP,185%,Other Nutrition Program,41.80%,22.20%,36.00%,16.80%,580,61%,39%,$2.63 ,"$656,010.00 "
29153,MO,"Ozark County, Missouri",14.80%,"1,430",130%,SNAP,185%,Other Nutrition Program,66.00%,29.10%,4.90%,25.10%,480,94%,6%,$2.51 ,"$585,150.00 "
