FIPS,State,"County, State",2010 Food Insecurity Rate, Number of Food Insecure Persons in 2010 ,Low Threshold in state,Low Threshold Type,High Threshold in state,High Threshold Type,% FI ? Low Threshold,% FI Btwn Thresholds,% FI > High Threshold,2010 Child food insecurity rate, Number of Food Insecure Children in 2010  ,% food insecure children in HH w/ HH incomes below 185 FPL,% of food insecure children in HH w/ HH incomes above 185 FPL, 2010 Cost Per Meal , 2010 Weighted Annual Food Budget Shortfall 
33007,NH,"Coos County, New Hampshire",12.20%,"4,070",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",65.80%,N/A,34.20%,17.30%,"1,110",76%,24%,$2.52 ,"$1,765,430 "
33009,NH,"Grafton County, New Hampshire",9.40%,"8,330",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",54.90%,N/A,45.10%,12.30%,"2,000",63%,37%,$2.72 ,"$3,900,040 "
33011,NH,"Hillsborough County, New Hampshire",9.40%,"37,690",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",44.80%,N/A,55.20%,13.00%,"12,290",48%,52%,$2.64 ,"$17,127,170 "
33013,NH,"Merrimack County, New Hampshire",9.30%,"13,630",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",48.00%,N/A,52.00%,12.80%,"4,140",56%,44%,$2.59 ,"$6,076,470 "
33015,NH,"Rockingham County, New Hampshire",8.70%,"25,750",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",36.30%,N/A,63.70%,11.20%,"7,790",35%,66%,$2.68 ,"$11,878,670 "
33017,NH,"Strafford County, New Hampshire",10.30%,"12,610",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",50.90%,N/A,49.10%,13.60%,"3,450",56%,44%,$2.63 ,"$5,708,560 "
33019,NH,"Sullivan County, New Hampshire",10.00%,"4,370",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",59.60%,N/A,40.40%,13.90%,"1,290",69%,31%,$2.49 ,"$1,872,990 "
34001,NJ,"Atlantic County, New Jersey",15.60%,"42,510",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",58.30%,N/A,41.70%,20.30%,"12,990",72%,28%,$2.56 ,"$18,732,110 "
34003,NJ,"Bergen County, New Jersey",9.60%,"86,160",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",42.70%,N/A,57.30%,14.50%,"29,520",37%,63%,$2.95 ,"$43,750,530 "
34005,NJ,"Burlington County, New Jersey",11.90%,"53,440",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",34.60%,N/A,65.40%,13.80%,"14,440",44%,56%,$2.56 ,"$23,548,430 "
34007,NJ,"Camden County, New Jersey",14.60%,"74,770",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",53.80%,N/A,46.20%,18.30%,"23,070",68%,32%,$2.71 ,"$34,878,060 "
34009,NJ,"Cape May County, New Jersey",13.80%,"13,510",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",53.50%,N/A,46.50%,19.40%,"3,630",57%,43%,$3.10 ,"$7,208,960 "
34011,NJ,"Cumberland County, New Jersey",17.10%,"26,570",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",63.20%,N/A,36.80%,23.80%,"8,840",75%,25%,$2.41 ,"$11,022,100 "
34013,NJ,"Essex County, New Jersey",18.00%,"140,770",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",55.70%,N/A,44.30%,17.00%,"32,960",85%,16%,$3.01 ,"$72,934,370 "
34015,NJ,"Gloucester County, New Jersey",12.40%,"35,290",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",42.60%,N/A,57.40%,16.10%,"11,290",49%,52%,$2.47 ,"$15,003,900 "
34017,NJ,"Hudson County, New Jersey",13.60%,"84,700",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",76.50%,N/A,23.50%,22.90%,"29,620",74%,26%,$2.53 ,"$36,885,830 "
34019,NJ,"Hunterdon County, New Jersey",8.30%,"10,690",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",32.60%,N/A,67.40%,12.70%,"3,940",26%,74%,$2.87 ,"$5,280,990 "
34021,NJ,"Mercer County, New Jersey",12.40%,"45,090",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",51.50%,N/A,48.50%,14.70%,"12,190",68%,32%,$2.64 ,"$20,489,900 "
34023,NJ,"Middlesex County, New Jersey",10.80%,"86,080",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",47.00%,N/A,53.00%,15.70%,"28,690",47%,53%,$2.57 ,"$38,079,480 "
34025,NJ,"Monmouth County, New Jersey",10.60%,"66,630",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",44.20%,N/A,55.80%,14.80%,"22,640",45%,55%,$2.67 ,"$30,622,220 "
34027,NJ,"Morris County, New Jersey",8.30%,"40,880",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",35.10%,N/A,64.90%,13.00%,"15,360",30%,70%,$2.79 ,"$19,632,280 "
34029,NJ,"Ocean County, New Jersey",12.20%,"69,300",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",55.90%,N/A,44.10%,19.60%,"25,670",62%,38%,$2.60 ,"$31,014,320 "
34031,NJ,"Passaic County, New Jersey",14.20%,"70,210",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",71.40%,N/A,28.60%,23.20%,"28,500",71%,29%,$2.63 ,"$31,784,130 "
34033,NJ,"Salem County, New Jersey",14.60%,"9,640",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",53.40%,N/A,46.60%,18.60%,"2,890",70%,30%,$2.97 ,"$4,928,210 "
34035,NJ,"Somerset County, New Jersey",8.90%,"28,320",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",33.20%,N/A,66.80%,12.40%,"9,910",32%,68%,$2.92 ,"$14,234,160 "
34037,NJ,"Sussex County, New Jersey",10.20%,"15,280",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",36.50%,N/A,63.50%,15.80%,"5,810",36%,64%,$2.88 ,"$7,574,810 "
34039,NJ,"Union County, New Jersey",12.90%,"68,480",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",54.30%,N/A,45.70%,16.10%,"20,750",64%,36%,$2.58 ,"$30,411,590 "
34041,NJ,"Warren County, New Jersey",10.90%,"11,870",185.00%,"SNAP, Other Nutrition Programs",185.00%,"SNAP, Other Nutrition Programs",44.40%,N/A,55.60%,16.50%,"4,310",45%,55%,$2.88 ,"$5,884,350 "
35001,NM,"Bernalillo County, New Mexico",16.60%,"107,340",165.00%,SNAP,185.00%,Other Nutrition Program,59.00%,7.20%,33.80%,25.30%,"38,830",64%,36%,$2.35 ,"$43,419,530 "
35003,NM,"Catron County, New Mexico",18.60%,680,165.00%,SNAP,185.00%,Other Nutrition Program,68.60%,10.70%,20.70%,28.20%,110,78%,22%,$2.42 ,"$283,260 "
35005,NM,"Chaves County, New Mexico",17.40%,"11,160",165.00%,SNAP,185.00%,Other Nutrition Program,74.80%,9.90%,15.30%,27.10%,"4,740",77%,23%,$2.28 ,"$4,379,800 "
35006,NM,"Cibola County, New Mexico",18.60%,"5,060",165.00%,SNAP,185.00%,Other Nutrition Program,74.10%,5.80%,20.20%,28.00%,"1,960",87%,13%,$2.32 ,"$2,020,660 "
35007,NM,"Colfax County, New Mexico",16.90%,"2,340",165.00%,SNAP,185.00%,Other Nutrition Program,67.10%,9.30%,23.50%,26.20%,750,81%,19%,$2.84 ,"$1,143,900 "
35009,NM,"Curry County, New Mexico",16.70%,"7,860",165.00%,SNAP,185.00%,Other Nutrition Program,72.80%,6.70%,20.50%,24.00%,"3,020",83%,17%,$2.45 ,"$3,314,700 "
35011,NM,"De Baca County, New Mexico",16.90%,300,165.00%,SNAP,185.00%,Other Nutrition Program,79.70%,10.20%,10.10%,28.80%,100,78%,22%,$2.37 ,"$122,380 "
35013,NM,"Dona Ana County, New Mexico",17.60%,"35,570",165.00%,SNAP,185.00%,Other Nutrition Program,81.50%,8.30%,10.20%,30.10%,"16,190",75%,26%,$2.39 ,"$14,633,140 "
35015,NM,"Eddy County, New Mexico",14.50%,"7,610",165.00%,SNAP,185.00%,Other Nutrition Program,66.20%,9.40%,24.40%,21.40%,"2,870",78%,22%,$2.43 ,"$3,183,070 "
35017,NM,"Grant County, New Mexico",17.90%,"5,310",165.00%,SNAP,185.00%,Other Nutrition Program,64.80%,12.70%,22.60%,28.10%,"1,770",75%,25%,$2.51 ,"$2,294,160 "
35019,NM,"Guadalupe County, New Mexico",19.70%,930,165.00%,SNAP,185.00%,Other Nutrition Program,62.10%,12.30%,25.60%,36.20%,320,73%,27%,$2.84 ,"$454,630 "
35021,NM,"Harding County, New Mexico",15.70%,150,165.00%,SNAP,185.00%,Other Nutrition Program,50.70%,2.10%,47.20%,18.10%,60,26%,74%,$2.37 ,"$61,190 "
35023,NM,"Hidalgo County, New Mexico",17.40%,860,165.00%,SNAP,185.00%,Other Nutrition Program,76.50%,3.20%,20.30%,28.90%,380,70%,30%,$3.55 ,"$525,510 "
35025,NM,"Lea County, New Mexico",16.70%,"10,450",165.00%,SNAP,185.00%,Other Nutrition Program,66.50%,8.20%,25.40%,24.90%,"4,420",73%,28%,$2.49 ,"$4,478,900 "
35027,NM,"Lincoln County, New Mexico",15.50%,"3,170",165.00%,SNAP,185.00%,Other Nutrition Program,64.20%,7.10%,28.60%,23.30%,920,86%,14%,$2.36 ,"$1,287,740 "
35028,NM,"Los Alamos County, New Mexico",10.70%,"1,940",165.00%,SNAP,185.00%,Other Nutrition Program,15.40%,3.60%,81.00%,12.50%,550,29%,71%,$3.10 ,"$1,035,190 "
35029,NM,"Luna County, New Mexico",27.00%,"6,820",165.00%,SNAP,185.00%,Other Nutrition Program,78.70%,10.80%,10.50%,43.60%,"3,010",81%,19%,$2.36 ,"$2,770,460 "
35031,NM,"McKinley County, New Mexico",23.40%,"16,560",165.00%,SNAP,185.00%,Other Nutrition Program,79.10%,7.70%,13.20%,31.90%,"7,260",92%,8%,$2.42 ,"$6,898,130 "
35033,NM,"Mora County, New Mexico",18.40%,910,165.00%,SNAP,185.00%,Other Nutrition Program,62.50%,6.90%,30.60%,28.30%,300,61%,39%,$2.40 ,"$375,930 "
35035,NM,"Otero County, New Mexico",17.90%,"11,210",165.00%,SNAP,185.00%,Other Nutrition Program,66.90%,6.70%,26.50%,25.60%,"3,940",77%,23%,$2.33 ,"$4,495,910 "
35037,NM,"Quay County, New Mexico",18.40%,"1,660",165.00%,SNAP,185.00%,Other Nutrition Program,76.30%,9.80%,13.90%,28.50%,550,78%,22%,$2.78 ,"$794,340 "
35039,NM,"Rio Arriba County, New Mexico",16.30%,"6,540",165.00%,SNAP,185.00%,Other Nutrition Program,70.20%,10.70%,19.00%,25.60%,"2,550",68%,32%,$2.37 ,"$2,667,970 "
35041,NM,"Roosevelt County, New Mexico",17.00%,"3,300",165.00%,SNAP,185.00%,Other Nutrition Program,78.70%,8.90%,12.50%,24.50%,"1,190",88%,12%,$2.36 ,"$1,340,550 "
35043,NM,"Sandoval County, New Mexico",16.60%,"20,570",165.00%,SNAP,185.00%,Other Nutrition Program,49.40%,6.90%,43.70%,22.30%,"7,380",62%,38%,$2.50 ,"$8,851,770 "
35045,NM,"San Juan County, New Mexico",19.90%,"25,310",165.00%,SNAP,185.00%,Other Nutrition Program,62.70%,6.10%,31.30%,27.00%,"9,910",73%,27%,$2.33 ,"$10,150,880 "
35047,NM,"San Miguel County, New Mexico",17.30%,"5,080",165.00%,SNAP,185.00%,Other Nutrition Program,76.90%,8.50%,14.60%,29.00%,"1,890",68%,32%,$2.36 ,"$2,063,630 "
35049,NM,"Santa Fe County, New Mexico",14.90%,"21,100",165.00%,SNAP,185.00%,Other Nutrition Program,57.00%,7.50%,35.50%,24.30%,"7,310",63%,37%,$2.50 ,"$9,079,840 "
35051,NM,"Sierra County, New Mexico",18.30%,"2,180",165.00%,SNAP,185.00%,Other Nutrition Program,81.50%,6.40%,12.00%,26.60%,560,89%,11%,$2.35 ,"$881,820 "
35053,NM,"Socorro County, New Mexico",17.60%,"3,170",165.00%,SNAP,185.00%,Other Nutrition Program,74.90%,8.60%,16.50%,27.30%,"1,190",75%,25%,$2.36 ,"$1,287,740 "
35055,NM,"Taos County, New Mexico",17.40%,"5,660",165.00%,SNAP,185.00%,Other Nutrition Program,66.60%,11.80%,21.60%,29.20%,"1,950",73%,27%,$2.91 ,"$2,835,080 "
35057,NM,"Torrance County, New Mexico",19.10%,"3,140",165.00%,SNAP,185.00%,Other Nutrition Program,63.00%,8.80%,28.20%,29.50%,"1,190",73%,28%,$2.54 ,"$1,372,840 "
35059,NM,"Union County, New Mexico",14.70%,640,165.00%,SNAP,185.00%,Other Nutrition Program,72.60%,11.00%,16.40%,18.60%,220,88%,12%,$2.73 ,"$300,740 "
35061,NM,"Valencia County, New Mexico",18.00%,"13,390",165.00%,SNAP,185.00%,Other Nutrition Program,67.00%,10.30%,22.80%,29.50%,"5,810",70%,30%,$2.34 ,"$5,393,270 "
36001,NY,"Albany County, New York",12.10%,"36,750",130.00%,SNAP,185.00%,Other Nutrition Program,38.50%,13.30%,48.20%,16.60%,"10,070",56%,44%,$2.67 ,"$16,889,790 "
36003,NY,"Allegany County, New York",13.60%,"6,680",130.00%,SNAP,185.00%,Other Nutrition Program,48.00%,20.10%,31.90%,23.30%,"2,450",68%,32%,$2.78 ,"$3,196,520 "
36005,NY,"Bronx County, New York",20.10%,"275,030",130.00%,SNAP,185.00%,Other Nutrition Program,59.80%,21.30%,19.00%,29.10%,"106,000",75%,25%,$2.72 ,"$128,767,010 "
36007,NY,"Broome County, New York",13.20%,"26,550",130.00%,SNAP,185.00%,Other Nutrition Program,44.40%,20.50%,35.10%,21.60%,"8,810",64%,36%,$2.44 ,"$11,150,900 "
36009,NY,"Cattaraugus County, New York",13.30%,"10,730",130.00%,SNAP,185.00%,Other Nutrition Program,48.70%,24.30%,27.00%,23.60%,"4,390",70%,30%,$2.27 ,"$4,192,580 "
36011,NY,"Cayuga County, New York",12.00%,"9,660",130.00%,SNAP,185.00%,Other Nutrition Program,38.90%,22.20%,38.80%,21.00%,"3,630",62%,38%,$2.37 ,"$3,940,770 "
36013,NY,"Chautauqua County, New York",13.30%,"17,980",130.00%,SNAP,185.00%,Other Nutrition Program,48.50%,23.60%,27.90%,23.70%,"6,940",66%,35%,$2.29 ,"$7,087,300 "
36015,NY,"Chemung County, New York",13.20%,"11,680",130.00%,SNAP,185.00%,Other Nutrition Program,45.10%,21.40%,33.50%,22.50%,"4,420",68%,33%,$2.29 ,"$4,603,990 "
36017,NY,"Chenango County, New York",12.60%,"6,430",130.00%,SNAP,185.00%,Other Nutrition Program,44.00%,27.70%,28.30%,21.50%,"2,540",65%,35%,$2.47 ,"$2,733,780 "
36019,NY,"Clinton County, New York",13.50%,"11,140",130.00%,SNAP,185.00%,Other Nutrition Program,38.80%,18.50%,42.70%,21.40%,"3,380",56%,44%,$2.38 ,"$4,563,710 "
36021,NY,"Columbia County, New York",10.80%,"6,820",130.00%,SNAP,185.00%,Other Nutrition Program,35.70%,19.80%,44.60%,17.80%,"2,150",54%,46%,$2.46 ,"$2,887,850 "
36023,NY,"Cortland County, New York",12.80%,"6,310",130.00%,SNAP,185.00%,Other Nutrition Program,43.30%,18.40%,38.30%,20.30%,"2,110",61%,39%,$2.43 ,"$2,639,320 "
36025,NY,"Delaware County, New York",12.30%,"5,930",130.00%,SNAP,185.00%,Other Nutrition Program,43.40%,25.50%,31.20%,21.00%,"1,970",69%,32%,$2.80 ,"$2,858,040 "
36027,NY,"Dutchess County, New York",10.80%,"31,910",130.00%,SNAP,185.00%,Other Nutrition Program,29.30%,14.40%,56.30%,16.40%,"11,010",44%,56%,$2.69 ,"$14,775,250 "
36029,NY,"Erie County, New York",13.40%,"123,450",130.00%,SNAP,185.00%,Other Nutrition Program,41.70%,16.50%,41.70%,19.00%,"38,400",63%,37%,$2.46 ,"$52,273,530 "
36031,NY,"Essex County, New York",12.70%,"5,020",130.00%,SNAP,185.00%,Other Nutrition Program,37.80%,21.40%,40.80%,21.80%,"1,650",58%,42%,$2.46 ,"$2,125,660 "
36033,NY,"Franklin County, New York",13.40%,"6,920",130.00%,SNAP,185.00%,Other Nutrition Program,44.20%,19.30%,36.50%,20.80%,"2,190",69%,31%,$2.27 ,"$2,703,880 "
36035,NY,"Fulton County, New York",14.30%,"7,930",130.00%,SNAP,185.00%,Other Nutrition Program,47.80%,21.80%,30.40%,24.40%,"2,990",67%,33%,$2.40 ,"$3,275,970 "
36037,NY,"Genesee County, New York",11.20%,"6,720",130.00%,SNAP,185.00%,Other Nutrition Program,40.30%,22.90%,36.80%,19.30%,"2,590",58%,42%,$2.33 ,"$2,695,140 "
36039,NY,"Greene County, New York",12.60%,"6,220",130.00%,SNAP,185.00%,Other Nutrition Program,39.10%,20.70%,40.20%,20.30%,"1,930",59%,41%,$2.57 ,"$2,751,560 "
36041,NY,"Hamilton County, New York",11.10%,540,130.00%,SNAP,185.00%,Other Nutrition Program,34.10%,26.20%,39.70%,16.60%,130,61%,39%,$2.51 ,"$233,300 "
36043,NY,"Herkimer County, New York",12.00%,"7,710",130.00%,SNAP,185.00%,Other Nutrition Program,47.60%,26.70%,25.70%,20.70%,"2,970",68%,32%,$2.28 ,"$3,025,830 "
36045,NY,"Jefferson County, New York",13.40%,"15,470",130.00%,SNAP,185.00%,Other Nutrition Program,46.90%,23.20%,30.00%,22.20%,"6,220",68%,32%,$2.25 ,"$5,991,400 "
36047,NY,"Kings County, New York",18.40%,"454,190",130.00%,SNAP,185.00%,Other Nutrition Program,54.60%,15.70%,29.70%,22.70%,"133,620",79%,21%,$2.63 ,"$205,612,230 "
36049,NY,"Lewis County, New York",13.00%,"3,510",130.00%,SNAP,185.00%,Other Nutrition Program,45.80%,27.70%,26.50%,22.90%,"1,510",69%,31%,$2.38 ,"$1,437,940 "
36051,NY,"Livingston County, New York",12.00%,"7,840",130.00%,SNAP,185.00%,Other Nutrition Program,36.70%,17.70%,45.60%,19.30%,"2,520",50%,50%,$2.37 ,"$3,198,310 "
36053,NY,"Madison County, New York",11.20%,"8,160",130.00%,SNAP,185.00%,Other Nutrition Program,37.10%,21.50%,41.50%,19.10%,"3,040",58%,42%,$2.41 ,"$3,385,030 "
36055,NY,"Monroe County, New York",13.20%,"97,690",130.00%,SNAP,185.00%,Other Nutrition Program,41.80%,15.40%,42.80%,18.00%,"30,620",64%,36%,$2.45 ,"$41,197,590 "
36057,NY,"Montgomery County, New York",13.10%,"6,520",130.00%,SNAP,185.00%,Other Nutrition Program,45.70%,27.90%,26.40%,24.30%,"2,830",66%,34%,$2.39 ,"$2,682,260 "
36059,NY,"Nassau County, New York",9.00%,"119,350",130.00%,SNAP,185.00%,Other Nutrition Program,23.00%,14.50%,62.50%,13.60%,"42,630",34%,67%,$2.98 ,"$61,220,140 "
36061,NY,"New York County, New York",13.10%,"206,770",130.00%,SNAP,185.00%,Other Nutrition Program,49.50%,16.40%,34.10%,21.30%,"50,670",63%,37%,$3.91 ,"$139,161,760 "
36063,NY,"Niagara County, New York",13.10%,"28,280",130.00%,SNAP,185.00%,Other Nutrition Program,40.90%,19.00%,40.10%,20.10%,"9,450",61%,39%,$2.34 ,"$11,390,710 "
36065,NY,"Oneida County, New York",12.50%,"29,220",130.00%,SNAP,185.00%,Other Nutrition Program,45.00%,20.30%,34.70%,21.70%,"11,030",64%,36%,$2.46 ,"$12,372,880 "
36067,NY,"Onondaga County, New York",12.80%,"59,460",130.00%,SNAP,185.00%,Other Nutrition Program,41.70%,16.40%,41.80%,18.70%,"20,150",61%,39%,$2.43 ,"$24,870,630 "
36069,NY,"Ontario County, New York",10.30%,"10,920",130.00%,SNAP,185.00%,Other Nutrition Program,35.40%,19.20%,45.40%,17.40%,"4,230",52%,49%,$2.36 ,"$4,435,990 "
36071,NY,"Orange County, New York",11.30%,"41,910",130.00%,SNAP,185.00%,Other Nutrition Program,36.50%,17.40%,46.00%,19.20%,"19,420",51%,49%,$2.53 ,"$18,251,300 "
36073,NY,"Orleans County, New York",13.20%,"5,700",130.00%,SNAP,185.00%,Other Nutrition Program,35.90%,26.30%,37.80%,20.70%,"1,980",68%,33%,$2.22 ,"$2,178,130 "
36075,NY,"Oswego County, New York",14.00%,"17,050",130.00%,SNAP,185.00%,Other Nutrition Program,43.10%,22.90%,34.00%,23.00%,"6,530",62%,38%,$2.31 ,"$6,779,410 "
36077,NY,"Otsego County, New York",12.00%,"7,540",130.00%,SNAP,185.00%,Other Nutrition Program,46.50%,22.00%,31.40%,19.70%,"2,330",64%,36%,$2.47 ,"$3,205,710 "
36079,NY,"Putnam County, New York",8.50%,"8,490",130.00%,SNAP,185.00%,Other Nutrition Program,27.50%,14.00%,58.50%,14.30%,"3,450",24%,76%,$3.13 ,"$4,574,120 "
36081,NY,"Queens County, New York",12.70%,"279,670",130.00%,SNAP,185.00%,Other Nutrition Program,43.70%,23.40%,32.90%,18.80%,"85,540",66%,34%,$2.73 ,"$131,420,820 "
36083,NY,"Rensselaer County, New York",11.50%,"18,290",130.00%,SNAP,185.00%,Other Nutrition Program,38.50%,17.30%,44.20%,18.80%,"6,390",54%,46%,$2.70 ,"$8,500,280 "
36085,NY,"Richmond County, New York",11.40%,"53,060",130.00%,SNAP,185.00%,Other Nutrition Program,36.30%,15.60%,48.10%,18.30%,"19,850",49%,51%,$2.91 ,"$26,577,610 "
36087,NY,"Rockland County, New York",10.80%,"32,970",130.00%,SNAP,185.00%,Other Nutrition Program,39.90%,16.00%,44.10%,17.60%,"15,030",54%,46%,$2.68 ,"$15,209,310 "
36089,NY,"St. Lawrence County, New York",14.70%,"16,410",130.00%,SNAP,185.00%,Other Nutrition Program,43.00%,18.70%,38.30%,24.30%,"5,690",61%,39%,$2.35 ,"$6,637,920 "
36091,NY,"Saratoga County, New York",9.00%,"19,660",130.00%,SNAP,185.00%,Other Nutrition Program,28.30%,19.30%,52.30%,15.10%,"7,490",38%,62%,$2.73 ,"$9,238,510 "
36093,NY,"Schenectady County, New York",11.70%,"17,990",130.00%,SNAP,185.00%,Other Nutrition Program,39.20%,16.60%,44.20%,17.70%,"6,240",59%,41%,$2.68 ,"$8,298,920 "
36095,NY,"Schoharie County, New York",12.20%,"4,000",130.00%,SNAP,185.00%,Other Nutrition Program,38.30%,18.90%,42.80%,19.80%,"1,340",56%,44%,$2.46 ,"$1,693,760 "
36097,NY,"Schuyler County, New York",10.90%,"2,030",130.00%,SNAP,185.00%,Other Nutrition Program,36.10%,27.70%,36.30%,18.20%,720,65%,35%,$2.40 ,"$838,620 "
36099,NY,"Seneca County, New York",12.20%,"4,320",130.00%,SNAP,185.00%,Other Nutrition Program,44.40%,21.10%,34.60%,21.60%,"1,640",71%,29%,$2.19 ,"$1,628,480 "
36101,NY,"Steuben County, New York",13.30%,"13,090",130.00%,SNAP,185.00%,Other Nutrition Program,46.00%,24.20%,29.80%,21.60%,"5,060",65%,35%,$2.40 ,"$5,407,620 "
36103,NY,"Suffolk County, New York",9.10%,"135,200",130.00%,SNAP,185.00%,Other Nutrition Program,24.80%,16.90%,58.30%,15.10%,"54,110",35%,65%,$2.89 ,"$67,255,870 "
36105,NY,"Sullivan County, New York",13.70%,"10,630",130.00%,SNAP,185.00%,Other Nutrition Program,48.40%,21.50%,30.10%,22.50%,"3,940",64%,37%,$2.29 ,"$4,190,100 "
36107,NY,"Tioga County, New York",10.80%,"5,570",130.00%,SNAP,185.00%,Other Nutrition Program,38.10%,26.90%,34.90%,18.80%,"2,260",63%,38%,$2.72 ,"$2,607,830 "
36109,NY,"Tompkins County, New York",12.00%,"12,110",130.00%,SNAP,185.00%,Other Nutrition Program,44.50%,15.60%,39.90%,16.30%,"2,540",58%,42%,$2.82 ,"$5,878,260 "
36111,NY,"Ulster County, New York",11.50%,"21,030",130.00%,SNAP,185.00%,Other Nutrition Program,37.40%,18.00%,44.50%,18.70%,"6,940",51%,49%,$2.54 ,"$9,194,510 "
36113,NY,"Warren County, New York",11.20%,"7,380",130.00%,SNAP,185.00%,Other Nutrition Program,36.00%,19.80%,44.30%,19.00%,"2,600",49%,51%,$2.57 ,"$3,264,710 "
36115,NY,"Washington County, New York",11.40%,"7,200",130.00%,SNAP,185.00%,Other Nutrition Program,39.60%,23.60%,36.80%,20.10%,"2,700",65%,35%,$2.91 ,"$3,606,460 "
36117,NY,"Wayne County, New York",11.90%,"11,160",130.00%,SNAP,185.00%,Other Nutrition Program,37.50%,22.10%,40.40%,20.10%,"4,500",56%,44%,$2.29 ,"$4,399,010 "
36119,NY,"Westchester County, New York",10.10%,"94,500",130.00%,SNAP,185.00%,Other Nutrition Program,33.10%,15.90%,51.00%,15.30%,"34,500",45%,55%,$2.82 ,"$45,870,830 "
36121,NY,"Wyoming County, New York",12.50%,"5,310",130.00%,SNAP,185.00%,Other Nutrition Program,36.20%,20.40%,43.40%,20.60%,"1,820",60%,40%,$2.59 ,"$2,367,280 "
36123,NY,"Yates County, New York",11.30%,"2,850",130.00%,SNAP,185.00%,Other Nutrition Program,50.00%,23.80%,26.20%,21.30%,"1,320",71%,29%,$2.05 ,"$1,005,670 "
37001,NC,"Alamance County, North Carolina",17.90%,"26,290",200.00%,"SNAP, Other Nutrition Programs",200.00%,"SNAP, Other Nutrition Programs",67.50%,N/A,32.50%,27.40%,"9,490",64%,36%,$2.49 ,"$11,267,970 "
37003,NC,"Alexander County, North Carolina",17.50%,"6,440",200.00%,"SNAP, Other Nutrition Programs",200.00%,"SNAP, Other Nutrition Programs",69.10%,N/A,30.90%,29.00%,"2,440",59%,41%,$2.45 ,"$2,715,860 "
37005,NC,"Alleghany County, North Carolina",18.60%,"2,060",200.00%,"SNAP, Other Nutrition Programs",200.00%,"SNAP, Other Nutrition Programs",84.60%,N/A,15.40%,33.10%,660,69%,31%,$2.73 ,"$968,020 "
37007,NC,"Anson County, North Carolina",25.10%,"6,730",200.00%,"SNAP, Other Nutrition Programs",200.00%,"SNAP, Other Nutrition Programs",65.50%,N/A,34.50%,27.20%,"1,660",87%,13%,$2.43 ,"$2,814,990 "
37009,NC,"Ashe County, North Carolina",17.20%,"4,610",200.00%,"SNAP, Other Nutrition Programs",200.00%,"SNAP, Other Nutrition Programs",83.10%,N/A,16.90%,30.40%,"1,580",71%,30%,$2.49 ,"$1,975,860 "
37011,NC,"Avery County, North Carolina",16.70%,"2,990",200.00%,"SNAP, Other Nutrition Programs",200.00%,"SNAP, Other Nutrition Programs",72.00%,N/A,28.00%,29.20%,910,71%,29%,$3.02 ,"$1,554,300 "
37013,NC,"Beaufort County, North Carolina",19.30%,"9,110",200.00%,"SNAP, Other Nutrition Programs",200.00%,"SNAP, Other Nutrition Programs",68.60%,N/A,31.40%,25.90%,"2,730",71%,29%,$2.51 ,"$3,935,930 "
