,Organization,Address,City,State
5,Loaves & Fishes,115 C St SW Ardmore OK 73401,Ardmore,['OK']
6,Hobart Food Pantry,215 S Jefferson St Hobart OK 73651,Hobart,['OK']
7,Hands Of Jesus,2403 W Noble Ave Guthrie OK 73044,Guthrie,['OK']
8,Oklahoma City Tulakes Community,7202A Lyrewood Ln Oklahoma City OK 73132,Oklahoma City,['OK']
9,Victory Life Food Bank,724 W Main St Durant OK 74701,Durant,['OK']
10,Jenks Community Food Bank,324 W Aquarium Pl Jenks OK 74037,Jenks,['OK']
11,Regional Food Bank Of Oklahoma,3355 S Purdue Oklahoma City OK 73127,Oklahoma City,['OK']
12,God'S Food Bank,402 W Vilas Ave Guthrie OK 73044,Guthrie,['OK']
13,Skyline Urban Ministry,500 SE 15th St Oklahoma City OK 73129,Oklahoma City,['OK']
14,Cleveland Area Food Bank,365525 E Highway 64 Cleveland OK 74020,Cleveland,['OK']
15,Samaritans,1000 N Ash St Pauls Valley OK 73075,Pauls Valley,['OK']
16,W W J D,2 N Villa Ave Oklahoma City OK 73107,Oklahoma City,['OK']
17,Misson Food,1131 Enterprise Ave Oklahoma City OK 73128,Oklahoma City,['OK']
18,Stroud Food Pantry,211 N 3rd Ave Stroud OK 74079,Stroud,['OK']
0,Estacada Area Food Bank,272 N Broadway St Estacada OR 97023,Estacada,['OR']
1,Partners For A Hunger-Free Oregon,712 SE Hawthorne Blvd Ste 202 Portland OR 97214,Portland,['OR']
2,North County Food Bank,278 Rowe Rd Wheeler OR 97147,Wheeler,['OR']
3,Coastal Range Food Bank Inc,19471 Summit Hwy Blodgett OR 97326,Blodgett,['OR']
4,South Clatsop County Food Bank,880 Avenue A Seaside OR 97138,Seaside,['OR']
5,Sunshine Pantry,10895 SW 5th St Beaverton OR 97005,Beaverton,['OR']
6,Grande Ronde Community Resource Ctr,8725 Grand Ronde Rd Grand Ronde OR 97347,Grand Ronde,['OR']
7,Columbia Pacific Food Bank,474 Milton Way # B Saint Helens OR 97051,Saint Helens,['OR']
8,Food & Water Watch,917 SW Oak St Ste 300 Portland OR 97205,Portland,['OR']
9,Hope House Food Bank,3837 N Gantenbein Ave Portland OR 97227,Portland,['OR']
10,Enchilada Express,129 SE 5th St Madras OR 97741,Madras,['OR']
11,Living Harvest Foods Inc,PO Box 4407 Portland OR 97208,Portland,['OR']
12,Northeast Emergency Food Prog,4800 NE 72nd Ave Portland OR 97218,Portland,['OR']
13,Crossroads Food Bank,2407 NE 102nd Ave Portland OR 97220,Portland,['OR']
14,L D S Port Bishop Stores,10420 SE 82nd Ave Happy Valley OR 97086,Happy Valley,['OR']
15,Mary'S Kitchen,200 Baseline St Cornelius OR 97113,Cornelius,['OR']
16,Allen Temple Food Pantry,4214 NE 8th Ave Portland OR 97211,Portland,['OR']
17,Oregon Food Bank Wc,21485 NW Mauzey Rd Hillsboro OR 97124,Hillsboro,['OR']
18,Aware Food Bank,152 Arthur St Woodburn OR 97071,Woodburn,['OR']
19,Mission Foods,8592 NE Alderwood Rd Portland OR 97220,Portland,['OR']
0,Catholic Harvest Food Pantry,628 E Market St York PA 17403,York,['PA']
1,Harvest Of Hope Food Pantry,4485 Wolfs Church Rd York PA 17408,York,['PA']
2,York County Food Bank,254 W Princess St York PA 17401,York,['PA']
3,New Oxford Community Food Pantry,120 Peter St Hanover PA 17331,Hanover,['PA']
4,Project Share Food Bank,5 N Orange St # 4 Carlisle PA 17013,Carlisle,['PA']
5,Octorara Area Food Cupboard,714 Main St Parkesburg PA 19365,Parkesburg,['PA']
6,Bedford Food Outreach Inc,140 School St Bedford PA 15522,Bedford,['PA']
7,Coatesville Community Fd Co-Op,800 S 1st Ave Coatesville PA 19320,Coatesville,['PA']
8,Emmanuel Food Pantry,825 E Princess St York PA 17403,York,['PA']
9,Maranatha Food Pantry,195 W Loudon St Chambersburg PA 17201,Chambersburg,['PA']
10,Project Share Food Bank,404 North Pitt St. Carlisle PA 17013,Carlisle,['PA']
11,Martha'S Kitchen,255 Grant St Chambersburg PA 17201,Chambersburg,['PA']
12,Helping Hand Food Pantry,301 Center St Boswell PA 15531,Boswell,['PA']
13,People Interested In People Inc,2045 W Toronto St Philadelphia PA 19132,Philadelphia,['PA']
14,Animal Food Bank Of The Lhv,2075 Leithsville Rd Hellertown PA 18055,Hellertown,['PA']
15,Chester County Food Bank,650 Pennsylvania Dr Exton PA 19341,Exton,['PA']
16,Mitzvah Food Project At Klein Jcc,10100 Jamison Avenue Philadelphia PA 19116,Philadelphia,['PA']
17,Katelin Food Market,2265 N Howard St Philadelphia PA 19133,Philadelphia,['PA']
18,Mary'S Cupboard,100 Levittown Pkwy Levittown PA 19054,Levittown,['PA']
19,Somerton Interfaith Food Bank,510 Somerton Ave Philadelphia PA 19116,Philadelphia,['PA']
0,North Kingstown Food Pantry,575 Boston Neck Rd North Kingstown RI 2852,North Kingstown,['RI']
1,North Food,445 School St North Kingstown RI 2852,North Kingstown,['RI']
2,St Marys St James Food Pantry,2075 Matunuck Schoolhouse Rd Charlestown RI 2813,Charlestown,['RI']
3,Simmering Group Kitchen,999 Pontiac Ave Cranston RI 2920,Cranston,['RI']
0,Golden Harvest Food Bank,81 Capital Dr Aiken SC 29803,Aiken,['SC']
1,Lowcountry Food Bank,1 Guess Rd Yemassee SC 29945,Yemassee,['SC']
2,Piedmont Emergency Relief Center,3 Main St. Piedmont SC 29673,Piedmont,['SC']
3,Christian Services Food Pantry,1414 Lynwood Dr Lancaster SC 29720,Lancaster,['SC']
4,Woodmont United Care,8512 Augusta Rd Pelzer SC 29669,Pelzer,['SC']
5,Woodruff Soup Kitchen,340 McArthur St Woodruff SC 29388,Woodruff,['SC']
6,Golden Harvest,311 Alliance Pkwy Williamston SC 29697,Williamston,['SC']
7,Salvation Army Soup Kitchen,119 E Birnie St Gaffney SC 29340,Gaffney,['SC']
8,God'S Pantry,800 SE Main St Simpsonville SC 29681,Simpsonville,['SC']
9,God'S Pantry,204 Ridgecrest Ct Simpsonville SC 29680,Simpsonville,['SC']
10,Operation Hope Inc,206 E Rutherford St Landrum SC 29356,Landrum,['SC']
11,From God To You Ministry,725 Keith Dr Greenville SC 29607,Greenville,['SC']
12,Harvest Hope Food Bank,2818 White Horse Rd Greenville SC 29611,Greenville,['SC']
13,Chapin We Care Center,1800 Chapin Rd Chapin SC 29036,Chapin,['SC']
14,The Soup Kitchen,573 Meeting St Charleston SC 29403,Charleston,['SC']
15,"The Samaritan House Of Greenville, Inc.",105 Old Augusta Rd Greenville SC 29605,Greenville,['SC']
16,Operation Care,3 Middleton Blvd Williamston SC 29697,Williamston,['SC']
17,W O P Community Food Pantry,105 Orange St Darlington SC 29532,Darlington,['SC']
18,Bread Of Life,13 Railroad Ave Summerton SC 29148,Summerton,['SC']
19,United Way Of The Midlands,1800 Main St Columbia SC 29201,Columbia,['SC']
0,Faith In Action/Food Pantry,101 S 5th St Beresford SD 57004,Beresford,['SD']
1,Swo Food Pantry,45672 Veterans Memorial Dr Sisseton SD 57262,Sisseton,['SD']
2,Custer Food Pantry Inc,66 Centennial Dr Custer SD 57730,Custer,['SD']
3,Lord'S Cupboard,111 S Main St Lead SD 57754,Lead,['SD']
4,Feeding South Dakota,814 N Maple Ave Rapid City SD 57701,Rapid City,['SD']
5,Baltic Food Bank,500 E 3rd St Colton SD 57018,Colton,['SD']
6,Spearfish Community Pantry Inc,131 Yankee St Spearfish SD 57783,Spearfish,['SD']
7,Food Pantry,417 N Phillips Ave Sioux Falls SD 57104,Sioux Falls,['SD']
8,Country Cupboard Food Pantry,505 Glenn St Wall SD 57790,Wall,['SD']
9,Food Pantry,1111 N Creek Dr Rapid City SD 57703,Rapid City,['SD']
10,Food Pantry,217 4th St Brookings SD 57006,Brookings,['SD']
11,Feeding South Dakota,3511 N 1st Ave Sioux Falls SD 57104,Sioux Falls,['SD']
12,Hot Springs Food Pantry,108 North Chicago Hot Springs SD 57747,Hot Springs,['SD']
0,Mid-South Food Bank,239 S Dudley St Memphis TN 38104,Memphis,['TN']
1,Onix On The Go,6661 Winchester Rd Memphis TN 38115,Memphis,['TN']
2,Collierville Food Pantry,167 Washington St Collierville TN 38017,Collierville,['TN']
3,Springfield-Robertson County,202 8th Ave E Springfield TN 37172,Springfield,['TN']
4,The Master'S Table,519 Central Ave W Ste 2 Springfield TN 37172,Springfield,['TN']
5,Macon Helps,111 Main St Lafayette TN 37083,Lafayette,['TN']
6,Henry County Office On Aging,55 Jones Bend Road Ext Paris TN 38242,Paris,['TN']
7,Recycled Heart Ministries Thrift Store,558 Tusculum Boulevard Greeneville TN 37745,Greeneville,['TN']
8,Gods Store House,601 W Broadway Newport TN 37821,Newport,['TN']
9,Chattanooga Area Food Bank,3402 N Hawthorne St Chattanooga TN 37406,Chattanooga,['TN']
10,Second Harvest Food Bank,136 Harvest Ln Maryville TN 37801,Maryville,['TN']
11,Helping Hands,2382 Fairview Blvd Fairview TN 37062,Fairview,['TN']
12,West End Church Of Christ,8301 E Walker Springs Ln Knoxville TN 37923,Knoxville,['TN']
13,Dos Rancheros,2458 Old Fort Pkwy Murfreesboro TN 37128,Murfreesboro,['TN']
14,Ole Mother Hubbard'S Cupboard,22576 Rhea County Hwy Spring City TN 37381,Spring City,['TN']
15,Hands Of Mercy,147 Court St Kingston TN 37763,Kingston,['TN']
16,"Feed The Dogs, Inc",481 Ravenwood Dr Morristown TN 37814,Morristown,['TN']
17,Ronnie'S Tasty Dog,Mobile Vending Business Nashville TN 37216,Nashville,['TN']
18,Smyrna-Lavergne Food Bank,130 Richardson St Smyrna TN 37167,Smyrna,['TN']
19,Hope Food Bank,212 Portland Rd White House TN 37188,White House,['TN']
0,El Paso / Juarez Food Bank,2206 E. Mills El Paso TX 79901,El Paso,['TX']
1,Your Neighbors House,201 S Union Street Whitesboro TX 76273,Whitesboro,['TX']
2,Wds Lighthouse Food Pantry,404 S Main St White Deer TX 79097,White Deer,['TX']
3,Houston Food Bank,3811 Eastex Fwy Houston TX 77026,Houston,['TX']
4,Desoto Food Pantry,302 N Hampton Rd Dallas TX 75208,Dallas,['TX']
5,Bastrop Food Pantry Inc,806 Fayette St Bastrop TX 78602,Bastrop,['TX']
6,Minnie'S Food Pantry,3198 W Parker Rd Plano TX 75075,Plano,['TX']
7,Mission Marshall,2109 S Washington Ave Marshall TX 75670,Marshall,['TX']
8,South Plains Food Bank,4612 Locust Ave Lubbock TX 79404,Lubbock,['TX']
9,South Plains Food Bank,2201 16th St Lubbock TX 79401,Lubbock,['TX']
10,South Plains Food Bank Farm,304 76th St Lubbock TX 79404,Lubbock,['TX']
11,Wichita Falls Area Food Bank,1230 Midwestern Pkwy Wichita Falls TX 76302,Wichita Falls,['TX']
12,Grand Bazaar,1130 Dragon St Dallas TX 75207,Dallas,['TX']
13,Shining Light Food Ministry,1404 Lake Dr Wills Point TX 75169,Wills Point,['TX']
14,Gmyp 2010 Retail,Dallas TX 75374,Dallas,['TX']
15,Community Food Bank,3000 Galvez Ave Fort Worth TX 76111,Fort Worth,['TX']
16,Rockdale Christian Svc Food Pn,224 W Cameron Ave Rockdale TX 76567,Rockdale,['TX']
17,Food Bank Of The Rio Grande Valley,724 N Cage Blvd Pharr TX 78577,Pharr,['TX']
18,Texas Association-2Nd Harvest,4388 W Vickery Blvd Ste 202 Fort Worth TX 76107,Fort Worth,['TX']
19,Manna Food Pantry & Vision,2101 W 34th St Houston TX 77018,Houston,['TX']
0,Box Elder Community Pantry,272 N 200 W Brigham City UT 84302,Brigham City,['UT']
1,Hope Resurrected Church,2280 Jackson Avenue Ogden UT 84401,Ogden,['UT']
2,Utah Food Bank,3150 S 900 W Salt Lake City UT 84119,Salt Lake City,['UT']
3,Cache Community Food Pantry,359 S Main St Logan UT 84321,Logan,['UT']
4,Bountiful Community Food Pntry,480 E 150 N Bountiful UT 84010,Bountiful,['UT']
5,Beaver County Food Network Inc,258 S Main St Milford UT 84751,Milford,['UT']
6,Utah Food Bank,4416 S River Rd Saint George UT 84790,Saint George,['UT']
7,Beaver County Food Network Inc,40 S 100 E Beaver UT 84713,Beaver,['UT']
8,Kanab Care & Share,56 W 450 N Kanab UT 84741,Kanab,['UT']
9,Iron County Care And Share,244 W 900 N Cedar City UT 84721,Cedar City,['UT']
10,Ashley Valley Food Pantry,426 E 200 S Vernal UT 84078,Vernal,['UT']
11,Duchesne County Food Pantry,420 W 100 N Roosevelt UT 84066,Roosevelt,['UT']
12,Hurricane Valley Food Bank,450 E 800 N Hurricane UT 84737,Hurricane,['UT']
13,Duchesne County Food Pantry,10 E 100 N Roosevelt UT 84066,Roosevelt,['UT']
0,Vermont Foodbank,75 Quarry Rd Wolcott VT 5680,Wolcott,['VT']
1,Food Pantry,137 Main St Montpelier VT 5602,Montpelier,['VT']
2,Chittenden Emergency Food Shelf,228 N Winooski Ave Burlington VT 5401,Burlington,['VT']
3,Vermont Foodbank,22 Brown Ave Saint Albans VT 5478,Saint Albans,['VT']
4,Deerfield Valley Food Pantry,7 Church Street Wilmington VT 5363,Wilmington,['VT']
5,Hardwick Area Food Pantry,39 E Church St East Hardwick VT 5836,East Hardwick,['VT']
6,Vermont Foodbank,33 Parker Rd Barre VT 5641,Barre,['VT']
7,Williston Community Food Shelf,300 Cornerstone Dr Williston VT 5495,Williston,['VT']
8,Woodstock Community Food Shelf,217 Maxham Meadow Way Woodstock VT 5091,Woodstock,['VT']
0,Food Bank Of Wise County Inc,200 Industrial Dr NE Norton VA 24273,Norton,['VA']
1,Fredericksburg Food Bank,3631 Lee Hill Dr Fredericksburg VA 22408,Fredericksburg,['VA']
2,Haymarket Regional Food Pantry,6720 Jefferson St Haymarket VA 20169,Haymarket,['VA']
3,Fauquier Community Food Bank,249 W Shirley Ave Warrenton VA 20186,Warrenton,['VA']
4,Capital Area Community Food,6833 Hill Park Dr Lorton VA 22079,Lorton,['VA']
5,Lord Fairfax Area Food Bank,1802 Roberts St Winchester VA 22601,Winchester,['VA']
6,Fauquier Thrift Store,249 W Shirley Ave Warrenton VA 20186,Warrenton,['VA']
7,Helping Hands Food Pantry,4444 Expressway Dr Virginia Beach VA 23452,Virginia Beach,['VA']
8,Banquet Produce,1533 E Bayview Blvd Norfolk VA 23503,Norfolk,['VA']
9,Aunt Libby'S Pantry,4449 N Witchduck Rd Virginia Beach VA 23455,Virginia Beach,['VA']
10,God's Storehouse,750 Memorial Drive Danville VA 24541,Danville,['VA']
11,Lwmwm Foundation,701 E Pinner St Suffolk VA 23434,Suffolk,['VA']
12,Southwestern Va Second Harvest,126 Russell Rd NW Abingdon VA 24210,Abingdon,['VA']
13,Food Bank Of The Va Penn,4805 Jefferson Ave Newport News VA 23607,Newport News,['VA']
14,Good Samaritan Food Pantry,106 Veterans Dr Richlands VA 24641,Richlands,['VA']
15,Central Virginia Food Bank,1415 Rhoadmiller St. Richmond VA 23220,Richmond,['VA']
16,Buchanan Community Food Pantry,2323 Bull Creek Rd Grundy VA 24614,Grundy,['VA']
17,Patrick County Community Food Bank,108 Commerce St Stuart VA 24171,Stuart,['VA']
18,Grace Point Church Food Ministry,1119 Commonwealth Ave Bristol VA 24201,Bristol,['VA']
19,Child Shall Lead Them Food Pantry A,623 Tazewell Ave Tazewell VA 24651,Tazewell,['VA']
0,Newport Food Bank,310 West Pine Street Newport WA 99156,Newport,['WA']
1,North County Food Bank,40015 N Collins Rd Elk WA 99009,Elk,['WA']
2,Asotin-County Food Bank Assoc Inc,1449 Highland Ave Clarkston WA 99403,Clarkston,['WA']
3,Loon Lake Food Pantry & Resource Center,3945 Fir St Loon Lake WA 99148,Loon Lake,['WA']
4,Mead Food Bank,12611 N Wilson St Mead WA 99021,Mead,['WA']
5,Medical Lake Food Bank,211 N Lefevre St Medical Lake WA 99022,Medical Lake,['WA']
6,Second Harvest Food Bank,1234 E Front Ave Spokane WA 99202,Spokane,['WA']
7,Northwest Harvest,3808 N Sullivan Rd Bldg 15K Spokane Valley WA 99216,Spokane Valley,['WA']
8,Cheney Food Bank,624 3rd St Cheney WA 99004,Cheney,['WA']
9,Valley Food Bank,10814 E Broadway Ave Spokane Valley WA 99206,Spokane Valley,['WA']
10,Clark County Food Bank,6502 NE 47th Ave Vancouver WA 98661,Vancouver,['WA']
11,Lewis River Mobile Food Bank,38809 NE 41st Ave La Center WA 98629,La Center,['WA']
12,Treasure House Interfaith,91 C St Washougal WA 98671,Washougal,['WA']
13,North County Community Food Bank,17 NE 3rd Ave Battle Ground WA 98604,Battle Ground,['WA']
14,Neighbors Helping Neighbors,21814 NW 11th Ave Ridgefield WA 98642,Ridgefield,['WA']
15,Fish Of Vancouver,551 W 14th St Vancouver WA 98660,Vancouver,['WA']
16,Helping Hands Food Bank,250 Moore St Sedro Woolley WA 98284,Sedro Woolley,['WA']
17,Ferndale Food Bank,2034 Washington St Ferndale WA 98248,Ferndale,['WA']
18,White Center Food Bank,9700 8th Pl SW Seattle WA 98106,Seattle,['WA']
19,Fish Food Banks Main Office,1224 S I St Tacoma WA 98405,Tacoma,['WA']
0,Eccho,1038 Smith St Milton WV 25541,Milton,['WV']
1,Schwan'S,230 Tasty Blend Way Fraziers Bottom WV 25082,Fraziers Bottom,['WV']
2,Faith In Action Inc,71 James St Keyser WV 26726,Keyser,['WV']
3,Jacobs Well,151 E 3rd Ave Williamson WV 25661,Williamson,['WV']
4,Mountaineer Food Bank,484 Enterprise Dr Gassaway WV 26624,Gassaway,['WV']
5,Quinwood Food Pantry,116 Amick St W Quinwood WV 25981,Quinwood,['WV']
6,No Hunger Food Pantry,231 Walnut St Ravenswood WV 26164,Ravenswood,['WV']
7,House Of The Carpenter Ii,601 Jefferson Ave Moundsville WV 26041,Moundsville,['WV']
8,Hope Haven Inc,118 Amick St W Quinwood WV 25981,Quinwood,['WV']
9,Richwood Food & Clothing Pantry Inc,14 Cherry River Plz Richwood WV 26261,Richwood,['WV']
10,Pocahontas Cooperative Parish,925 10th Ave Marlinton WV 24954,Marlinton,['WV']
0,Verona Area Needs Food Pantry,130 N Franklin St Verona WI 53593,Verona,['WI']
1,Green County Food Pantry Inc,1129 17th Ave Monroe WI 53566,Monroe,['WI']
2,"Sharing Center, Inc.",25700 Wilmot Rd Trevor WI 53179,Trevor,['WI']
3,East Troy Food Pantry,2861 Austin St East Troy WI 53120,East Troy,['WI']
4,Muskego Food Pantry,W189S8184 Mercury Dr Muskego WI 53150,Muskego,['WI']
5,Lake Geneva Food Pantry,715 Wisconsin St Lake Geneva WI 53147,Lake Geneva,['WI']
6,Twin Lakes Food Pantry Inc,701 N Lake Ave Twin Lakes WI 53181,Twin Lakes,['WI']
7,Mukwonago Food Pantry,325 Eagle Lake Ave Mukwonago WI 53149,Mukwonago,['WI']
8,We Care Community Food Pantry,1705 Douglas Ave Racine WI 53404,Racine,['WI']
9,America'S Second Harvest,1700 W Fond Du Lac Ave Milwaukee WI 53205,Milwaukee,['WI']
10,Umos Food Pantry & Food Bank,2701 S Chase Ave Milwaukee WI 53207,Milwaukee,['WI']
11,Milton Food Pantry,36 Hilltop Dr Milton WI 53563,Milton,['WI']
12,City Of Stoughton Food Pantry,520 S 4th St Stoughton WI 53589,Stoughton,['WI']
13,Elkhorn Food Pantry,14 W Geneva St Elkhorn WI 53121,Elkhorn,['WI']
14,Wc Resource Ctr & Food Pantry,205 Commerce Ct Elkhorn WI 53121,Elkhorn,['WI']
15,Food Pantry,981 N Page St Stoughton WI 53589,Stoughton,['WI']
16,Second Harvest Foodbank Of Southern Wisconsin,2802 Dairy Dr Madison WI 53718,Madison,['WI']
17,Sharing Center,7001 236th Ave Salem WI 53168,Salem,['WI']
18,New Berlin Food Pantry,14750 W Cleveland Ave New Berlin WI 53151,New Berlin,['WI']
19,The Father'S House Of Prayer,4510 E Us Highway 14 Janesville WI 53546,Janesville,['WI']
0,People Assistance,2560 N Main St Sheridan WY 82801,Sheridan,['WY']
1,Needs Inc,900 Central Ave Cheyenne WY 82007,Cheyenne,['WY']
2,Food Bank,550 Uinta Dr Ste F Green River WY 82935,Green River,['WY']
3,Joshua'S Storehouse & Distribution Center,334 S Wolcott St Casper WY 82601,Casper,['WY']
4,Care & Share Food Bank,281 Garfield St Lander WY 82520,Lander,['WY']
5,Wyoming Food For Thought,900 Saint John St Casper WY 82601,Casper,['WY']
6,Pinedale Community Food Basket,104 Bridger Ave Pinedale WY 82941,Pinedale,['WY']
7,Wyoming Food Bank-The Rcks,4976 Paige St Mills WY 82604,Mills,['WY']
8,Food Bank Of Sweet Water County,90 N Center St Rock Springs WY 82901,Rock Springs,['WY']
0,Casa Maria Free Kitchen,352 E 25th St Tucson AZ 85713,Tucson,['AZ']
1,Mom'S Pantry Cmnty Food Bank,13440 N Cave Creek Rd Phoenix AZ 85022,Phoenix,['AZ']
2,Borderlands Food Bank,2661 N Donna Ave Ste A Nogales AZ 85621,Nogales,['AZ']
3,Kingman Area Food Bank,2930 E Butler Ave Kingman AZ 86409,Kingman,['AZ']
4,Yavapai Apache Nation Wic,3364 W Hamaley Ave Camp Verde AZ 86322,Camp Verde,['AZ']
5,Stolen Recipe Barbeque Sauce,15150 W Ajo Hwy Tucson AZ 85735,Tucson,['AZ']
6,Marana Community Food Bank,11734 W Grier Rd Marana AZ 85653,Marana,['AZ']
7,Central Arizona Food Bank,654 N Main St Cottonwood AZ 86326,Cottonwood,['AZ']
8,Chandler Christian Community Center,44 N Oak St Gilbert AZ 85233,Gilbert,['AZ']
9,Casa Grande Food Bank Inc,235 E 4th St Casa Grande AZ 85122,Casa Grande,['AZ']
10,St Mary'S Food Bank,3131 W Thomas Rd Phoenix AZ 85017,Phoenix,['AZ']
11,Tolleson Food Bank,10 S 93rd Ave Tolleson AZ 85353,Tolleson,['AZ']
12,Northern Arizona Food Bank,3805 E Huntington Dr Flagstaff AZ 86004,Flagstaff,['AZ']
13,Community Food Bank,1940 Mesquite Ave Lake Havasu City AZ 86403,Lake Havasu City,['AZ']
14,Cause4Paws Pet Food Bank,7201 E Solano Drive Scottsdale AZ 85250,Scottsdale,['AZ']
15,Amado Community Food Bank,28720 S Nogales Hwy Amado AZ 85645,Amado,['AZ']
16,"Resurrection Street Ministry, Inc.",1135 E Main St Mesa AZ 85203,Mesa,['AZ']
17,Desert Mission Food Bank,9229 N 4th St Phoenix AZ 85020,Phoenix,['AZ']
18,St Mary'S Food Bank,Phoenix AZ 85017,Phoenix,['AZ']
19,Flagstaff Family Food Ctr,1903 N 2nd St Flagstaff AZ 86004,Flagstaff,['AZ']
0,Valley View Community Food Bank,11115 W Nevada Ave Youngtown AZ 85363,Youngtown,['AZ']
1,Care And Share Food Bank,1801 W Route 66 Flagstaff AZ 86001,Flagstaff,['AZ']
2,St Paul'S Food Bank,8051 E Broadway Blvd Tucson AZ 85710,Tucson,['AZ']
3,United Food Bank,245 S Nina Dr Mesa AZ 85210,Mesa,['AZ']
4,Community Food Bank-Caridad Community Kitchen,845 N Main Ave Tucson AZ 85705,Tucson,['AZ']
5,Nogales Community Food Bank,2636 N Donna Ave Nogales AZ 85621,Nogales,['AZ']
6,Agua Fria Food Bank,405 E Harrison Dr Avondale AZ 85323,Avondale,['AZ']
7,Celebrity Fight Night,2111 E Highland Ave Ste 135 Phoenix AZ 85016,Phoenix,['AZ']
8,Apache Junction Reach Out Food,575 N Idaho Rd Ste 701 Apache Junction AZ 85119,Apache Junction,['AZ']
9,Yuma Community Foodbank Inc,2404 E 24th St Ste A Yuma AZ 85365,Yuma,['AZ']
10,The Chandler Christian Community Center,345 S California St Chandler AZ 85225,Chandler,['AZ']
11,Gila Community Food Bank,317 W Hackney Ave Globe AZ 85501,Globe,['AZ']
12,St Dominics Food Bank,PO Box 17228 Fountain Hills AZ 85269,Fountain Hills,['AZ']
13,The Cultural Cup Food Bank,342 E Thomas Rd Phoenix AZ 85012,Phoenix,['AZ']
14,I.M.P.A.C.T. Capital Specialists,PO Box 924 Buckeye AZ 85326,Buckeye,['AZ']
15,Benson Food Bank,370 S Huachuca St Benson AZ 85602,Benson,['AZ']
16,Food Bank Prescott Community Cupboard,434 W Gurley St Prescott AZ 86301,Prescott,['AZ']
17,Prescott Valley Food Bank,9360 E Manzanita Cir Prescott Valley AZ 86314,Prescott Valley,['AZ']
18,Matthew'S Crossing Food Bank,1368 N Arizona Ave # 115 Chandler AZ 85225,Chandler,['AZ']
19,Prescott Meals On Wheels Inc,1280 E Rosser St # A Prescott AZ 86301,Prescott,['AZ']
0,Douglas Area Food Bank,660 N G Ave Douglas AZ 85607,Douglas,['AZ']
1,Community Food Bank,3003 S Country Club Rd Ste 221 Tucson AZ 85713,Tucson,['AZ']
2,Chino Valley Food Bank,840 S Road 1 E Chino Valley AZ 86323,Chino Valley,['AZ']
3,Community Food Bank,250 E Continental Rd Unit 101 Green Valley AZ 85614,Green Valley,['AZ']
0,Harvest Texarkana Food Bank,3120 E 19th St Texarkana AR 71854,Texarkana,['AR']
0,San Diego Food Bank,9850 Distribution Ave San Diego CA 92121,San Diego,['CA']
1,San Bernardino Food Bank,678 S Tippecanoe Ave San Bernardino CA 92415,San Bernardino,['CA']
2,The Concerned Family,19450 Clark St Perris CA 92570,Perris,['CA']
3,One Hundred And Eighty Degrees And Ss Inc,1314 W 12th St Los Angeles CA 90015,Los Angeles,['CA']
4,Orange County Food Bank,11870 Monarch Garden Grove CA 92841,Garden Grove,['CA']
5,Second Harvest Food Bank,2950 Jefferson St Ste B Riverside CA 92504,Riverside,['CA']
6,Pantry Station,1777 Woodlawn St Upland CA 91786,Upland,['CA']
7,Operation Provider,PO Box 26 Rimforest CA 92378,Rimforest,['CA']
8,St Vincent De Paul,503 Giuseppe Ct # 8 Roseville CA 95678,Roseville,['CA']
9,Kidcare International,9014 Benson Ave Ste A Montclair CA 91763,Montclair,['CA']
10,Madera County Food Bank,225 S Pine St # 101 Madera CA 93637,Madera,['CA']
11,Hope,221 Oak St Ste D Oakland CA 94607,Oakland,['CA']
12,Community Pantry,137 N San Jacinto St Hemet CA 92543,Hemet,['CA']
13,Marin Food Bank,75 Digital Dr Ste 200 Novato CA 94949,Novato,['CA']
14,Nu Creations Outreach,2006 Niles St Bakersfield CA 93305,Bakersfield,['CA']
15,Second Harvest Food Bank Santa Cruz County,800 Ohlone Pkwy Watsonville CA 95076,Watsonville,['CA']
16,Santee Food Bank,8824 Cottonwood Ave Santee CA 92071,Santee,['CA']
17,Oso Foundation,22847 W Avenue D Lancaster CA 93536,Lancaster,['CA']
18,Salvation Army- Meals On Wheels Glendale,320 W Windsor Rd Glendale CA 91204,Glendale,['CA']
19,Cory'S Kitchen,1418 Arrow Hwy Baldwin Park CA 91706,Baldwin Park,['CA']
0,East Rancho Dominguez Svc Ctr,4513 E Compton Blvd Compton CA 90221,Compton,['CA']
1,La Jolla Meals On Wheels (Also: Greater La Jolla Meals On Wheels,9888 Genesee Ave La Jolla CA 92037,La Jolla,['CA']
2,Brentwood Community United Methodist Church,809 2nd St Brentwood CA 94513,Brentwood,['CA']
3,Food Bank Of Yolo County,1244 Fortna Ave Woodland CA 95776,Woodland,['CA']
4,Hospitality Kitchen,821 E 6th St Los Angeles CA 90021,Los Angeles,['CA']
5,Second Harvest Food Bank,1051 Bing St San Carlos CA 94070,San Carlos,['CA']
6,S F Rescue Food Bank,230 Jones St San Francisco CA 94102,San Francisco,['CA']
7,Ar-Razzaq Food Bank,PO Box 601503 Sacramento CA 95860,Sacramento,['CA']
8,Bread Of Life,5722 Lime Ave Long Beach CA 90805,Long Beach,['CA']
9,Redwood Empire Food Bank,3320 Industrial Dr Santa Rosa CA 95403,Santa Rosa,['CA']
10,Tree Of Life Ministries,18341 Sherman Way Reseda CA 91335,Reseda,['CA']
11,Food For Life Ministry Inc,4712 Cheyenne Way Chino CA 91710,Chino,['CA']
